URL,Domain,Subdomain,TLD,Path,Length,NumSpecialChars,Label
http://www.linux.ie/mailman/listinfo/ilug,linux,www,ie,/mailman/listinfo/ilug,41,8,spam
http://www.outsrc-em.com,outsrc-em,www,com,,24,6,spam
http://xent.com/mailman/listinfo/fork,xent,,com,/mailman/listinfo/fork,37,7,spam
www.freeedgar.com,freeedgar,www,com,,17,2,spam
http://members.tripod.de/mani20/index1.html,tripod,members,de,/mani20/index1.html,43,8,spam
http://www.chinaniconline.com/sales,chinaniconline,www,com,/sales,35,6,spam
http://www.chinaniconline.com/sales,chinaniconline,www,com,/sales,35,6,spam
http://www.chinaniconline.com/sales,chinaniconline,www,com,/sales,35,6,spam
http://www.chinaniconline.com/sales,chinaniconline,www,com,/sales,35,6,spam
http://mysprintfast.com/web/debtfreedom/index1.html,mysprintfast,,com,/web/debtfreedom/index1.html,51,8,spam
http://mysprintfast.com/web/debtfreedom/index1.html,mysprintfast,,com,/web/debtfreedom/index1.html,51,8,spam
"http://vfda.weedwaacker.com/index0625a.html""><font",weedwaacker,vfda,com,"/index0625a.html""><font",50,10,spam
"http://rmkid.weedwaacker.com"">CLICK","com"">CLICK",rmkid.weedwaacker,,,35,7,spam
http://internet.e-mail,e-mail,internet,,,22,5,spam
"http://www.webcredit2002.com/?CID=2020&amp;MID=3300""><IMG",webcredit2002,www,com,"/?CID=2020&amp;MID=3300""><IMG",57,14,spam
"http://www.webcredit2002.com/?CID=2020&amp;MID=3300""><IMG",webcredit2002,www,com,"/?CID=2020&amp;MID=3300""><IMG",57,14,spam
"http://213.139.76.100/PHP/remove.php"">Click",213.139.76.100,,,,43,11,spam
http://onyx.idbsu.edu/~ipowell,idbsu,onyx,edu,/~ipowell,30,7,spam
http://www.glendalestores.com/totalreach/teletime.htm,glendalestores,www,com,/totalreach/teletime.htm,53,8,spam
http://www.requestedinfo.net/cgi-bin/best_rate_virtual.cgi?code=btinh>TRY,requestedinfo,www,net,/cgi-bin/best_rate_virtual.cgi?code=btinh>TRY,73,14,spam
www.BannersGoMLM.comwww.ProfitBanners.comwww.CashPromotions.comwww.MySiteInc.comwww.TimsHomeTownStories.comwww.FreeLinksNetwork.comwww.MyShoppingPlace.comwww.BannerCo-op.comwww.PutPEEL.comwww.PutPEEL.netwww.SELLinternetACCESS.comwww.Be-Your-Own-ISP.comwww.SeventhPower.com______________________________________________________Today's,com______________________________________________________Today's,www.BannersGoMLM.comwww.ProfitBanners.comwww.CashPromotions.comwww.MySiteInc.comwww.TimsHomeTownStories.comwww.FreeLinksNetwork.comwww.MyShoppingPlace.comwww.BannerCo-op.comwww.PutPEEL.comwww.PutPEEL.netwww.SELLinternetACCESS.comwww.Be-Your-Own-ISP.comwww.SeventhPower,,,333,85,spam
http://www.SELLinternetACCESS.com<a,com<a,www.SELLinternetACCESS,,,35,6,spam
"http://www.SELLinternetACCESS.com"">click","com"">click",www.SELLinternetACCESS,,,40,7,spam
http://www.Find-Local-ISP.com,Find-Local-ISP,www,com,,29,7,spam
"http://www.Find-Local-ISP.com"">click","com"">click",www.Find-Local-ISP,,,36,9,spam
www.GSSGeomatics.com______________________________________________________,com______________________________________________________,www.GSSGeomatics,,,74,56,spam
www.ArmchairTycoon.com/profits2youTrade,ArmchairTycoon,www,com,/profits2youTrade,39,3,spam
http://www.cashpo.net/CashPO/openpage.php4?c=2------------------------------------------------------Visit,cashpo,www,net,/CashPO/openpage.php4?c=2------------------------------------------------------Visit,105,64,spam
http://www.wardsgiftshop.com,wardsgiftshop,www,com,,28,5,spam
http://www.makecashonline.com,makecashonline,www,com,,29,5,spam
http://orleantraders.4yoursuccess.orgTrade,orgTrade,orleantraders.4yoursuccess,,,42,5,spam
http://bannersgomlm.com/ezine______________________________________________________,bannersgomlm,,com,/ezine______________________________________________________,83,59,spam
http://www.newlinepubs.comGlenn,comGlenn,www.newlinepubs,,,31,5,spam
http://netsbestinfo.homestead.com/nbi.htmlDennisdamorganjr@yahoo.comSite,homestead,netsbestinfo,com,/nbi.htmlDennisdamorganjr@yahoo.comSite,72,9,spam
http://www.BestWayToShop.comDale,comDale,www.BestWayToShop,,,32,5,spam
http://www.wedeliverparties.comDawn,comDawn,www.wedeliverparties,,,35,5,spam
http://www.EClassifiedshq.comCarol,comCarol,www.EClassifiedshq,,,34,5,spam
http://www.angelfire.com/fl3/mrstgiftsSite,angelfire,www,com,/fl3/mrstgiftsSite,42,7,spam
http://www.angelfire.com/fl3/mrstgiftsShirley,angelfire,www,com,/fl3/mrstgiftsShirley,45,7,spam
